Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
SPINT2	19q13.2	2.21	2.39	0.62	0.48	-0.17	5.934e-3	0.0106	(B) Positive
CMIP	16q23.2-q23.3	0.33	0.18	0.48	0.51	0.14	5.936e-3	0.0106	(A) Negative
OSTC	4q25	-0.13	-0.28	0.54	0.44	0.15	5.951e-3	0.0107	(A) Negative
RCL1	9p24.1	0.03	-0.19	0.77	0.54	0.21	5.954e-3	0.0107	(A) Negative
RPL10A	6p21.31	-0.29	-0.15	0.50	0.48	-0.14	5.960e-3	0.0107	(B) Positive
PLCXD3	5p13.1	-0.92	-0.58	1.19	1.18	-0.35	5.964e-3	0.0107	(B) Positive
SURF2	9q34.2	-0.03	-0.17	0.49	0.46	0.14	5.965e-3	0.0107	(A) Negative
DDX27	20q13.13	0.09	-0.07	0.57	0.55	0.16	5.967e-3	0.0107	(A) Negative
EPHX1	1q42.12	0.90	1.16	0.91	0.81	-0.26	5.973e-3	0.0107	(B) Positive
NONO	Xq13.1	-0.58	-0.70	0.43	0.37	0.12	5.988e-3	0.0107	(A) Negative
SCGB1A1	11q12.3	0.51	0.36	0.57	0.37	0.16	5.995e-3	0.0107	(A) Negative
KIAA1586	6p12.1	-0.84	-1.03	0.67	0.57	0.19	5.996e-3	0.0107	(A) Negative
LYST	1q42.3	0.44	0.68	0.83	0.68	-0.23	5.998e-3	0.0107	(B) Positive
TMEM185A	Xq28	0.45	0.55	0.35	0.32	-0.10	5.999e-3	0.0107	(B) Positive
IMMP2L	7q31.1	-0.53	-0.33	0.66	0.68	-0.19	6.000e-3	0.0107	(B) Positive
DR1	1p22.1	0.04	-0.12	0.57	0.50	0.16	6.031e-3	0.0108	(A) Negative
GMFB	14q22.2	-0.06	0.11	0.62	0.46	-0.17	6.038e-3	0.0108	(B) Positive
NPY2R	4q32.1	0.92	1.27	1.11	1.57	-0.36	6.047e-3	0.0108	(B) Positive
WHAMM	15q25.2	0.13	0.24	0.39	0.32	-0.11	6.055e-3	0.0108	(B) Positive
TRPC4	13q13.3	0.94	0.72	0.81	0.56	0.22	6.059e-3	0.0108	(A) Negative
FAM43B	1p36.12	-0.28	-0.15	0.48	0.47	-0.14	6.067e-3	0.0108	(B) Positive
SDHD	11q23.1	-0.41	-0.57	0.54	0.48	0.15	6.072e-3	0.0108	(A) Negative
SPATA3	2q37.1	0.31	0.23	0.29	0.35	0.09	6.073e-3	0.0108	(A) Negative
SUSD5	3p22.3	1.14	0.65	1.79	1.23	0.49	6.079e-3	0.0109	(A) Negative
ARHGEF25	12q13.3	-1.30	-1.12	0.63	0.59	-0.18	6.082e-3	0.0109	(B) Positive
H2BC15	6p22.1	-0.35	-0.58	0.78	0.83	0.23	6.082e-3	0.0109	(A) Negative
DPY30	2p22.3	0.03	-0.10	0.48	0.38	0.13	6.087e-3	0.0109	(A) Negative
TWIST1	7p21.1	0.14	0.40	0.84	0.97	-0.25	6.088e-3	0.0109	(B) Positive
COL3A1	2q32.2	5.40	5.58	0.61	0.66	-0.18	6.101e-3	0.0109	(B) Positive
DPYSL4	10q26.3	-1.85	-2.24	1.39	1.05	0.38	6.101e-3	0.0109	(A) Negative
MYNN	3q26.2	0.60	0.47	0.50	0.38	0.14	6.107e-3	0.0109	(A) Negative
SEPTIN14P20	20q13.33	-0.34	-0.18	0.52	0.61	-0.16	6.107e-3	0.0109	(B) Positive
MAP1B	5q13.2	-0.64	-0.93	1.02	0.97	0.29	6.119e-3	0.0109	(A) Negative
SLC13A5	17p13.1	-2.70	-2.84	0.48	0.47	0.14	6.121e-3	0.0109	(A) Negative
ADGRL1	19p13.12	-0.26	-0.04	0.77	0.60	-0.21	6.136e-3	0.0109	(B) Positive
ANKRD13A	12q24.11	0.06	-0.10	0.58	0.44	0.16	6.140e-3	0.0110	(A) Negative
DPYSL3	5q32	0.84	0.55	0.98	1.01	0.29	6.183e-3	0.0110	(A) Negative
TLL2	10q24.1	0.28	0.47	0.68	0.67	-0.20	6.190e-3	0.0110	(B) Positive
PHTF2	7q11.23-q21.11	0.02	-0.09	0.39	0.42	0.12	6.194e-3	0.0110	(A) Negative
H2AC18	1q21.2	0.34	0.70	1.25	1.34	-0.37	6.198e-3	0.0111	(B) Positive
CLEC2A	12p13.31	-1.47	-1.21	0.89	0.88	-0.26	6.200e-3	0.0111	(B) Positive
TTLL3	3p25.3	-1.05	-1.19	0.52	0.44	0.15	6.204e-3	0.0111	(A) Negative
ST8SIA4	5q21.1	-0.10	-0.29	0.68	0.56	0.19	6.206e-3	0.0111	(A) Negative
ZNF385D	3p24.3	-0.47	-0.12	1.16	1.46	-0.36	6.221e-3	0.0111	(B) Positive
SAMD11	1p36.33	-0.88	-0.67	0.75	0.78	-0.22	6.228e-3	0.0111	(B) Positive
NDUFS1	2q33.3	-0.50	-0.62	0.46	0.38	0.13	6.231e-3	0.0111	(A) Negative
DLL4	15q15.1	1.77	1.98	0.69	0.74	-0.20	6.234e-3	0.0111	(B) Positive
CLEC4C	12p13.31	0.71	0.49	0.77	0.70	0.22	6.236e-3	0.0111	(A) Negative
CRYBB1	22q12.1	-1.19	-1.01	0.64	0.58	-0.18	6.236e-3	0.0111	(B) Positive
SOX21	13q32.1	-1.31	-1.43	0.44	0.35	0.12	6.250e-3	0.0111	(A) Negative
NLGN3	Xq13.1	-0.67	-0.52	0.55	0.47	-0.16	6.251e-3	0.0111	(B) Positive
KMT2D	12q13.12	0.24	0.32	0.24	0.25	-0.07	6.259e-3	0.0111	(B) Positive
ADAMTSL2	9q34.2	0.91	1.08	0.60	0.55	-0.17	6.273e-3	0.0112	(B) Positive
GABPA	21q21.3	0.14	-0.02	0.54	0.50	0.15	6.278e-3	0.0112	(A) Negative
CD302	2q24.2	0.95	1.20	0.89	0.84	-0.25	6.291e-3	0.0112	(B) Positive
BLTP2	17q11.2	-0.26	-0.10	0.56	0.54	-0.16	6.307e-3	0.0112	(B) Positive
ABCB1	7q21.12	-0.98	-0.72	0.86	0.93	-0.25	6.308e-3	0.0112	(B) Positive
ACSBG1	15q25.1	-1.42	-1.67	0.92	0.53	0.25	6.311e-3	0.0112	(A) Negative
CNTFR	9p13.3	0.27	0.08	0.68	0.56	0.19	6.311e-3	0.0112	(A) Negative
ZNF358	19p13.2	0.75	0.61	0.49	0.49	0.14	6.324e-3	0.0113	(A) Negative
EXOC3L1	16q22.1	1.72	1.55	0.62	0.56	0.18	6.335e-3	0.0113	(A) Negative
VTA1	6q24.1-q24.2	-0.05	-0.22	0.62	0.49	0.17	6.336e-3	0.0113	(A) Negative
GRM8	7q31.33	0.17	0.43	0.95	0.82	-0.27	6.344e-3	0.0113	(B) Positive
OR1A2	17p13.3	0.21	0.11	0.36	0.34	0.10	6.356e-3	0.0113	(A) Negative
PCDHB3	5q31.3	0.29	-0.11	1.42	1.27	0.40	6.356e-3	0.0113	(A) Negative
RAP1B	12q15	0.33	0.50	0.59	0.51	-0.17	6.360e-3	0.0113	(B) Positive
NAT10	11p13	-0.22	-0.38	0.59	0.44	0.16	6.363e-3	0.0113	(A) Negative
COL5A2	2q32.2	2.00	2.32	1.11	1.12	-0.32	6.377e-3	0.0113	(B) Positive
COMT	22q11.21	0.20	0.04	0.55	0.58	0.16	6.380e-3	0.0113	(A) Negative
TDRD1	10q25.3	-0.25	-0.65	1.48	0.93	0.40	6.381e-3	0.0113	(A) Negative
CCDC177	14q24.1	1.03	1.19	0.55	0.60	-0.16	6.383e-3	0.0113	(B) Positive
RAB11FIP4	17q11.2	0.14	0.31	0.62	0.61	-0.18	6.386e-3	0.0113	(B) Positive
RRP9	3p21.2	-0.62	-0.74	0.42	0.38	0.12	6.395e-3	0.0114	(A) Negative
SMIM12	1p34.3	-0.06	-0.18	0.43	0.35	0.12	6.397e-3	0.0114	(A) Negative
CHTOP	1q21.3	0.11	0.02	0.32	0.29	0.09	6.405e-3	0.0114	(A) Negative
STK35	20p13	-0.30	-0.41	0.40	0.36	0.11	6.408e-3	0.0114	(A) Negative
DLG2	11q14.1	-0.22	0.01	0.82	0.69	-0.23	6.408e-3	0.0114	(B) Positive
TLE5	19p13.3	0.22	0.37	0.55	0.48	-0.16	6.408e-3	0.0114	(B) Positive
ARL6IP1	16p12.3	0.59	0.75	0.56	0.55	-0.16	6.414e-3	0.0114	(B) Positive
MS4A5	11q12.2	0.17	0.28	0.32	0.53	-0.11	6.417e-3	0.0114	(B) Positive
TRIM48	11q11	0.20	0.07	0.47	0.47	0.13	6.433e-3	0.0114	(A) Negative
FHAD1	1p36.21	0.80	1.02	0.78	0.66	-0.22	6.439e-3	0.0114	(B) Positive
GPATCH2L	14q24.3	-0.09	0.05	0.48	0.49	-0.14	6.447e-3	0.0114	(B) Positive
STRN4	19q13.32	0.31	0.21	0.37	0.34	0.11	6.453e-3	0.0115	(A) Negative
TEX29	13q34	0.37	0.20	0.62	0.52	0.17	6.457e-3	0.0115	(A) Negative
PSMB9	6p21.32	0.60	0.20	1.45	1.09	0.40	6.469e-3	0.0115	(A) Negative
HS6ST2	Xq26.2	-0.96	-1.26	1.08	0.94	0.30	6.476e-3	0.0115	(A) Negative
SCARB1	12q24.31	-0.61	-0.81	0.76	0.53	0.21	6.485e-3	0.0115	(A) Negative
DDX19B	16q22.1	-0.17	-0.31	0.49	0.42	0.14	6.495e-3	0.0115	(A) Negative
EIF2B2	14q24.3	-0.58	-0.45	0.43	0.39	-0.12	6.495e-3	0.0115	(B) Positive
SLC35A2	Xp11.23	0.66	0.55	0.41	0.38	0.12	6.500e-3	0.0115	(A) Negative
TLR5	1q41	3.30	3.11	0.69	0.61	0.19	6.507e-3	0.0115	(A) Negative
HCFC2	12q23.3	0.46	0.30	0.57	0.45	0.16	6.509e-3	0.0115	(A) Negative
OMP	11q13.5	0.15	0.05	0.36	0.37	0.11	6.511e-3	0.0115	(A) Negative
OR51L1	11p15.4	0.47	0.38	0.30	0.31	0.09	6.543e-3	0.0116	(A) Negative
MSRB1	16p13.3	0.22	0.42	0.72	0.54	-0.20	6.550e-3	0.0116	(B) Positive
RPS6KB2	11q13.2	-0.67	-0.91	0.82	0.77	0.23	6.562e-3	0.0116	(A) Negative
ADAMTSL4	1q21.2	-1.65	-1.90	0.91	0.71	0.25	6.565e-3	0.0116	(A) Negative
RAB39B	Xq28	-1.01	-0.65	1.20	1.54	-0.37	6.571e-3	0.0116	(B) Positive
UBE2H	7q32.2	0.71	0.87	0.58	0.46	-0.16	6.590e-3	0.0117	(B) Positive
WNT5A	3p14.3	-1.58	-1.22	1.19	1.38	-0.36	6.597e-3	0.0117	(B) Positive
APOM	6p21.33	-3.61	-3.47	0.46	0.53	-0.14	6.599e-3	0.0117	(B) Positive
BET1	7q21.3	-0.39	-0.53	0.46	0.47	0.13	6.614e-3	0.0117	(A) Negative
MOSMO	16p12.2	-1.27	-1.43	0.60	0.49	0.17	6.651e-3	0.0118	(A) Negative
DYRK1B	19q13.2	0.90	1.03	0.47	0.40	-0.13	6.659e-3	0.0118	(B) Positive
ZNF300	5q33.1	-0.94	-1.34	1.43	1.07	0.39	6.688e-3	0.0118	(A) Negative
WWOX	16q23.1-q23.2	-0.18	0.02	0.62	0.98	-0.20	6.689e-3	0.0118	(B) Positive
NPL	1q25.3	1.36	1.13	0.78	0.81	0.23	6.695e-3	0.0119	(A) Negative
PEX1	7q21.2	-0.12	0.03	0.50	0.53	-0.15	6.704e-3	0.0119	(B) Positive
FABP1	2p11.2	-6.21	-6.46	0.90	0.76	0.25	6.704e-3	0.0119	(A) Negative
TLN1	9p13.3	0.40	0.27	0.44	0.42	0.12	6.714e-3	0.0119	(A) Negative
DNAJC8	1p35.3	-0.47	-0.37	0.38	0.34	-0.11	6.717e-3	0.0119	(B) Positive
COL25A1	4q25	-1.00	-1.18	0.68	0.43	0.18	6.722e-3	0.0119	(A) Negative
ZNF418	19q13.43	0.85	1.02	0.60	0.56	-0.17	6.736e-3	0.0119	(B) Positive
SAFB	19p13.3	-0.04	-0.15	0.41	0.33	0.11	6.740e-3	0.0119	(A) Negative
DIPK1C	18q22.3	-1.64	-2.00	1.33	0.88	0.36	6.744e-3	0.0119	(A) Negative
HOXA2	7p15.2	0.23	0.03	0.75	0.65	0.21	6.748e-3	0.0119	(A) Negative
FJX1	11p13	0.33	0.08	0.87	0.96	0.25	6.749e-3	0.0119	(A) Negative
TBX4	17q23.2	-0.12	-0.36	0.89	0.67	0.24	6.751e-3	0.0119	(A) Negative
NUP35	2q32.1	-0.36	-0.50	0.54	0.37	0.15	6.757e-3	0.0119	(A) Negative
CES1	16q12.2	-1.46	-1.22	0.84	0.84	-0.24	6.758e-3	0.0119	(B) Positive
AKAP7	6q23.2	-0.34	-0.59	0.93	0.69	0.25	6.798e-3	0.0120	(A) Negative
PIGY	4q22.1	0.32	0.16	0.60	0.47	0.16	6.802e-3	0.0120	(A) Negative
TBC1D10B	16p11.2	0.24	0.34	0.35	0.32	-0.10	6.817e-3	0.0120	(B) Positive
ANKRD53	2p13.3	0.59	0.68	0.31	0.35	-0.09	6.821e-3	0.0121	(B) Positive
C9ORF72	9p21.2	0.17	-0.02	0.67	0.58	0.19	6.825e-3	0.0121	(A) Negative
GSDMB	17q21.1	-0.45	-0.77	1.13	1.05	0.32	6.862e-3	0.0121	(A) Negative
PPP2R2C	4p16.1	-0.13	0.41	1.86	1.94	-0.54	6.865e-3	0.0121	(B) Positive
RENBP	Xq28	0.78	0.57	0.75	0.64	0.21	6.865e-3	0.0121	(A) Negative
IRF7	11p15.5	1.20	1.40	0.73	0.55	-0.20	6.868e-3	0.0121	(B) Positive
NBPF15	1q21.1	-0.44	-0.27	0.57	0.58	-0.16	6.880e-3	0.0122	(B) Positive
C9ORF50	9q34.11	0.01	0.15	0.50	0.56	-0.15	6.904e-3	0.0122	(B) Positive
NRCAM	7q31.1	-1.97	-1.66	1.08	1.20	-0.32	6.907e-3	0.0122	(B) Positive
TFAP2B	6p12.3	0.80	1.65	2.93	3.08	-0.85	6.910e-3	0.0122	(B) Positive
VDR	12q13.11	2.46	2.26	0.71	0.68	0.20	6.923e-3	0.0122	(A) Negative
CADM4	19q13.31	0.97	0.76	0.75	0.60	0.21	6.930e-3	0.0122	(A) Negative
VGLL4	3p25.3-p25.2	1.11	0.98	0.48	0.34	0.13	6.933e-3	0.0122	(A) Negative
SPPL2C	17q21.31	0.03	0.13	0.39	0.36	-0.11	6.939e-3	0.0122	(B) Positive
ESYT1	12q13.2	0.01	0.12	0.41	0.38	-0.12	6.943e-3	0.0123	(B) Positive
ANO10	3p22.1-p21.33	-0.23	-0.04	0.69	0.56	-0.19	6.973e-3	0.0123	(B) Positive
CPA1	7q32.2	0.05	0.17	0.39	0.46	-0.12	6.997e-3	0.0123	(B) Positive
ZNF549	19q13.43	0.27	0.52	0.87	0.90	-0.25	7.020e-3	0.0124	(B) Positive
NR2C1	12q22	-0.99	-1.15	0.54	0.55	0.16	7.027e-3	0.0124	(A) Negative
OGT	Xq13.1	-0.63	-0.76	0.46	0.44	0.13	7.040e-3	0.0124	(A) Negative
AP5S1	20p13	0.10	0.27	0.61	0.53	-0.17	7.042e-3	0.0124	(B) Positive
KRTDAP	19q13.12	-0.49	-0.94	1.69	1.07	0.45	7.076e-3	0.0125	(A) Negative
GDF3	12p13.31	-3.64	-3.77	0.46	0.39	0.13	7.079e-3	0.0125	(A) Negative
TP53RK	20q13.12	0.57	0.44	0.45	0.50	0.13	7.104e-3	0.0125	(A) Negative
PPFIA1	11q13.3	-0.03	0.15	0.58	0.83	-0.18	7.107e-3	0.0125	(B) Positive
DOK6	18q22.2	-1.69	-1.40	1.08	0.92	-0.30	7.113e-3	0.0125	(B) Positive
NDUFS7	19p13.3	-0.15	-0.01	0.50	0.41	-0.14	7.128e-3	0.0126	(B) Positive
TRIM72	16p11.2	0.33	0.42	0.32	0.38	-0.09	7.129e-3	0.0126	(B) Positive
SNTA1	20q11.21	-0.10	0.11	0.76	0.62	-0.21	7.139e-3	0.0126	(B) Positive
OR10AD1	12q13.11	0.14	0.32	0.63	0.59	-0.18	7.144e-3	0.0126	(B) Positive
OR2D2	11p15.4	0.47	0.34	0.47	0.49	0.13	7.148e-3	0.0126	(A) Negative
N4BP2L2	13q13.1	-0.23	-0.03	0.69	0.59	-0.19	7.154e-3	0.0126	(B) Positive
TMEM119	12q23.3	1.35	1.56	0.77	0.71	-0.22	7.160e-3	0.0126	(B) Positive
KRTAP12-1	21q22.3	0.04	0.12	0.26	0.28	-0.08	7.185e-3	0.0127	(B) Positive
AZIN1	8q22.3	0.39	0.22	0.60	0.58	0.17	7.190e-3	0.0127	(A) Negative
NRBP1	2p23.3	0.21	0.06	0.54	0.47	0.15	7.191e-3	0.0127	(A) Negative
HGS	17q25.3	0.17	0.06	0.39	0.42	0.11	7.210e-3	0.0127	(A) Negative
GAP43	3q13.31	-2.90	-2.68	0.78	0.76	-0.22	7.254e-3	0.0128	(B) Positive
SET	9q34.11	-0.39	-0.56	0.63	0.50	0.17	7.292e-3	0.0128	(A) Negative
UNC119B	12q24.31	-0.36	-0.23	0.44	0.45	-0.13	7.321e-3	0.0129	(B) Positive
SKAP2	7p15.2	0.20	-0.02	0.77	0.70	0.22	7.335e-3	0.0129	(A) Negative
PABPC1L2B	Xq13.2	0.21	0.10	0.37	0.34	0.10	7.341e-3	0.0129	(A) Negative
USH1C	11p15.1	-1.01	-1.21	0.77	0.46	0.20	7.395e-3	0.0130	(A) Negative
SRPRA	11q24.2	0.06	-0.08	0.52	0.46	0.14	7.411e-3	0.0130	(A) Negative
JPH1	8q21.11	0.29	0.05	0.80	0.90	0.23	7.414e-3	0.0130	(A) Negative
SERPINF1	17p13.3	0.25	0.53	0.99	1.08	-0.29	7.422e-3	0.0131	(B) Positive
ITGA2B	17q21.31	-0.57	-0.71	0.52	0.39	0.14	7.425e-3	0.0131	(A) Negative
DHRS13	17q11.2	-0.36	-0.14	0.80	0.75	-0.22	7.429e-3	0.0131	(B) Positive
TUT7	9q21.33	0.41	0.27	0.54	0.42	0.15	7.440e-3	0.0131	(A) Negative
GMCL1	2p13.3	0.05	-0.09	0.52	0.49	0.15	7.451e-3	0.0131	(A) Negative
PARP2	14q11.2	-0.65	-0.81	0.58	0.46	0.16	7.455e-3	0.0131	(A) Negative
HSF5	17q22	0.40	0.28	0.46	0.45	0.13	7.463e-3	0.0131	(A) Negative
OR5L1	11q12.1	0.88	0.66	0.78	0.67	0.22	7.472e-3	0.0131	(A) Negative
KCNAB2	1p36.31	-0.45	-0.55	0.35	0.36	0.10	7.472e-3	0.0131	(A) Negative
RAB8A	19p13.11	0.18	0.33	0.52	0.50	-0.15	7.499e-3	0.0132	(B) Positive
NRG4	15q24.2	-2.07	-2.31	0.88	0.62	0.23	7.508e-3	0.0132	(A) Negative
RGS3	9q32	0.21	0.35	0.53	0.49	-0.15	7.509e-3	0.0132	(B) Positive
GREM2	1q43	-0.56	-0.26	1.07	0.92	-0.29	7.510e-3	0.0132	(B) Positive
PABIR3	Xq26.3	-0.61	-0.83	0.80	0.74	0.22	7.522e-3	0.0132	(A) Negative
KLF1	19p13.13	-2.47	-2.57	0.36	0.30	0.10	7.525e-3	0.0132	(A) Negative
FIBIN	11p14.2	2.44	2.71	0.94	0.98	-0.27	7.533e-3	0.0132	(B) Positive
LSS	21q22.3	-0.91	-1.09	0.63	0.58	0.18	7.551e-3	0.0133	(A) Negative
AK1	9q34.11	0.11	0.26	0.57	0.47	-0.15	7.561e-3	0.0133	(B) Positive
TNFSF14	19p13.3	-0.31	-0.50	0.67	0.63	0.19	7.578e-3	0.0133	(A) Negative
ACOX1	17q25.1	0.42	0.26	0.62	0.47	0.17	7.583e-3	0.0133	(A) Negative
PLP2	Xp11.23	0.13	-0.05	0.65	0.58	0.18	7.585e-3	0.0133	(A) Negative
SRMS	20q13.33	0.32	0.42	0.34	0.41	-0.10	7.595e-3	0.0133	(B) Positive
IFNGR2	21q22.11	1.18	1.02	0.57	0.45	0.15	7.618e-3	0.0134	(A) Negative
REV1	2q11.2	-0.06	-0.17	0.41	0.32	0.11	7.626e-3	0.0134	(A) Negative
ACOT12	5q14.1	-0.14	-0.06	0.30	0.33	-0.09	7.669e-3	0.0135	(B) Positive
SMG6	17p13.3	0.15	0.27	0.44	0.35	-0.12	7.672e-3	0.0135	(B) Positive
PRPF38B	1p13.3	-0.55	-0.66	0.38	0.34	0.10	7.697e-3	0.0135	(A) Negative
HLA-G	6p22.1	1.46	1.26	0.72	0.58	0.20	7.698e-3	0.0135	(A) Negative
TVP23B	17p11.2	0.06	0.22	0.59	0.56	-0.17	7.720e-3	0.0135	(B) Positive
HTRA2	2p13.1	-0.13	-0.22	0.35	0.35	0.10	7.725e-3	0.0135	(A) Negative
LIPN	10q23.31	0.24	0.12	0.45	0.46	0.13	7.726e-3	0.0135	(A) Negative
SH2D3C	9q34.11	1.23	1.42	0.65	0.64	-0.18	7.731e-3	0.0136	(B) Positive
ZNF529	19q13.12	-0.32	-0.48	0.58	0.44	0.16	7.740e-3	0.0136	(A) Negative
SMG8	17q22	-0.32	-0.16	0.56	0.60	-0.16	7.745e-3	0.0136	(B) Positive
VAMP4	1q24.3	0.36	0.54	0.64	0.54	-0.18	7.746e-3	0.0136	(B) Positive
DNAH9	17p12	-0.80	-0.53	0.94	1.06	-0.27	7.793e-3	0.0137	(B) Positive
TMX1	14q22.1	-0.66	-0.49	0.63	0.49	-0.17	7.793e-3	0.0137	(B) Positive
OR56B1	11p15.4	0.41	0.34	0.25	0.31	0.07	7.793e-3	0.0137	(A) Negative
ATP6V1B1	2p13.3	0.60	0.84	0.80	1.01	-0.24	7.800e-3	0.0137	(B) Positive
ZNG1A	9p24.3	-0.10	0.08	0.65	0.66	-0.18	7.801e-3	0.0137	(B) Positive
COX6B1	19q13.12	0.41	0.27	0.53	0.45	0.15	7.832e-3	0.0137	(A) Negative
H3C2	6p22.2	-0.18	-0.33	0.52	0.66	0.16	7.836e-3	0.0137	(A) Negative
HMG20A	15q24.3	-0.60	-0.49	0.38	0.36	-0.11	7.843e-3	0.0137	(B) Positive
GJB7	6q14.3-q15	-0.91	-1.27	1.21	1.49	0.36	7.844e-3	0.0137	(A) Negative
FYB1	5p13.1	0.77	0.47	1.08	0.93	0.30	7.858e-3	0.0138	(A) Negative
SYT16	14q23.2	0.18	-0.01	0.65	0.75	0.19	7.860e-3	0.0138	(A) Negative
ADARB1	21q22.3	-0.67	-0.82	0.55	0.49	0.15	7.866e-3	0.0138	(A) Negative
TRIM24	7q33-q34	-0.64	-0.81	0.58	0.57	0.16	7.878e-3	0.0138	(A) Negative
TUBG2	17q21.2	-0.88	-0.74	0.49	0.52	-0.14	7.880e-3	0.0138	(B) Positive
RGS7	1q43	-1.56	-1.33	0.76	1.00	-0.23	7.884e-3	0.0138	(B) Positive
HEYL	1p34.2	2.88	3.03	0.55	0.53	-0.15	7.887e-3	0.0138	(B) Positive
MCRIP2	16p13.3	-0.44	-0.28	0.56	0.56	-0.16	7.899e-3	0.0138	(B) Positive
MAST2	1p34.1	0.29	0.14	0.53	0.46	0.15	7.904e-3	0.0138	(A) Negative
DOCK11	Xq24	-0.73	-0.97	0.90	0.84	0.25	7.911e-3	0.0138	(A) Negative
MT1M	16q13	0.22	-0.09	1.17	0.96	0.32	7.915e-3	0.0138	(A) Negative
METTL22	16p13.2	-0.78	-0.65	0.47	0.40	-0.13	7.939e-3	0.0139	(B) Positive
AP4M1	7q22.1	0.22	0.11	0.42	0.40	0.12	7.948e-3	0.0139	(A) Negative
JAZF1	7p15.2-p15.1	0.16	-0.02	0.63	0.57	0.17	7.949e-3	0.0139	(A) Negative
IRF6	1q32.2	4.18	4.01	0.56	0.65	0.16	7.966e-3	0.0139	(A) Negative
THAP11	16q22.1	0.10	-0.03	0.48	0.39	0.13	8.002e-3	0.0140	(A) Negative
TMEM17	2p15	1.26	1.06	0.70	0.64	0.19	8.005e-3	0.0140	(A) Negative
DNAAF2	14q21.3	-0.07	-0.21	0.53	0.46	0.14	8.009e-3	0.0140	(A) Negative
ZNF469	16q24.2	3.13	2.81	1.16	1.05	0.32	8.018e-3	0.0140	(A) Negative
SRP72	4q12	-0.01	-0.14	0.46	0.38	0.12	8.025e-3	0.0140	(A) Negative
SCYL2	12q23.1	0.42	0.30	0.46	0.41	0.13	8.050e-3	0.0141	(A) Negative
TTC32	2p24.1	-0.94	-1.15	0.75	0.82	0.21	8.051e-3	0.0141	(A) Negative
MKRN1	7q34	0.13	0.25	0.41	0.38	-0.11	8.066e-3	0.0141	(B) Positive
EMB	5q11.1	-0.86	-0.55	1.13	1.12	-0.32	8.069e-3	0.0141	(B) Positive
C11ORF16	11p15.4	1.10	0.79	1.17	0.84	0.31	8.075e-3	0.0141	(A) Negative
DOK2	8p21.3	1.85	1.57	1.02	0.90	0.28	8.080e-3	0.0141	(A) Negative
PLXNA2	1q32.2	1.13	0.92	0.78	0.61	0.21	8.089e-3	0.0141	(A) Negative
GPSM3	6p21.32	0.72	0.55	0.63	0.60	0.17	8.099e-3	0.0141	(A) Negative
TNS1	2q35	0.24	0.13	0.41	0.34	0.11	8.103e-3	0.0142	(A) Negative
WNT7B	22q13.31	0.75	1.08	1.20	1.03	-0.33	8.105e-3	0.0142	(B) Positive
EFNA3	1q21.3	0.26	0.01	0.89	0.93	0.25	8.118e-3	0.0142	(A) Negative
ZNF672	1q44	0.29	0.14	0.55	0.42	0.15	8.127e-3	0.0142	(A) Negative
FIG4	6q21	0.72	0.94	0.79	0.78	-0.22	8.130e-3	0.0142	(B) Positive
CLPTM1L	5p15.33	0.11	-0.03	0.55	0.45	0.15	8.130e-3	0.0142	(A) Negative
DHX37	12q24.31	-0.54	-0.66	0.47	0.43	0.13	8.150e-3	0.0142	(A) Negative
PIK3C2A	11p15.1	-0.05	0.14	0.67	0.66	-0.19	8.167e-3	0.0143	(B) Positive
BDNF	11p14.1	-3.39	-3.09	0.92	1.39	-0.29	8.215e-3	0.0143	(B) Positive
DPP4	2q24.2	0.00	-0.32	1.19	1.02	0.32	8.216e-3	0.0143	(A) Negative
NIBAN3	19p13.11	0.67	0.42	0.93	0.77	0.25	8.219e-3	0.0143	(A) Negative
CASC3	17q21.1	0.13	0.33	0.73	0.64	-0.20	8.234e-3	0.0144	(B) Positive
ACOT8	20q13.12	-0.07	0.09	0.55	0.54	-0.15	8.237e-3	0.0144	(B) Positive
GAS2L2	17q12	0.21	0.41	0.71	0.73	-0.20	8.245e-3	0.0144	(B) Positive
ITPR3	6p21.31	-0.42	-0.62	0.76	0.56	0.20	8.255e-3	0.0144	(A) Negative
COL16A1	1p35.2	0.95	1.22	1.01	0.92	-0.28	8.264e-3	0.0144	(B) Positive
OPLAH	8q24.3	0.31	0.63	1.19	0.94	-0.32	8.283e-3	0.0144	(B) Positive
GRIN2A	16p13.2	-0.71	-0.85	0.52	0.36	0.14	8.294e-3	0.0145	(A) Negative
PPP1R16B	20q11.23	0.30	0.13	0.62	0.54	0.17	8.296e-3	0.0145	(A) Negative
ALG13	Xq23	-1.13	-0.95	0.67	0.67	-0.19	8.297e-3	0.0145	(B) Positive
SCFD2	4q12	0.11	-0.02	0.47	0.40	0.13	8.306e-3	0.0145	(A) Negative
C1QB	1p36.12	3.36	3.21	0.56	0.53	0.15	8.307e-3	0.0145	(A) Negative
ISY1	3q21.3	-0.09	-0.22	0.49	0.37	0.13	8.313e-3	0.0145	(A) Negative
OR4X2	11p11.2	0.38	0.31	0.22	0.23	0.06	8.318e-3	0.0145	(A) Negative
B3GALT5	21q22.2	0.22	0.42	0.70	0.82	-0.20	8.327e-3	0.0145	(B) Positive
